CAS,LambdaZHl
69558-55-0,0.005501
96574-01-5,0.05
36948-76-2,0.07
167221-71-8,0.292225
1187073-73-9,0.32
51146-57-7,0.35
117976-89-3,0.36
56-85-9,0.41
117976-91-7,0.43
74150-27-9,0.47
117976-47-3,0.47
516-54-1,0.48
80-05-7,0.49
943001-56-7,0.54
480-11-5,0.55
7542-37-2,0.55
63503-12-8,0.55011
280780-95-2,0.57
856867-55-5,0.58
58-25-3,0.6
2078-54-8,0.69
130636-43-0,0.698973
119141-88-7,0.73
117977-21-6,0.73
59-99-4,0.75
73590-58-6,0.759485
21967-41-9,0.8
87-44-5,0.805000002
267244-08-6,0.83
881681-00-1,0.9
96036-03-2,0.911
25953-19-9,0.96
5377-20-8,0.98
630420-16-5,1
113775-47-6,1
33125-97-2,1.09
130466-38-5,1.1
60-99-1,1.1
55268-75-2,1.12
147-94-4,1.2
31430-15-6,1.2
18559-94-9,1.2
15291-77-7,1.21
66108-95-0,1.23358
61276-17-3,1.257918
131674-05-0,1.29
112885-41-3,1.29
60-80-0,1.32
56187-47-4,1.35
57-27-2,1.35
51481-61-9,1.36
10236-47-2,1.37
106266-06-2,1.37
90-82-4,1.4
54193-28-1,1.45
38029-10-6,1.47
220991-32-2,1.48
144830-14-8,1.48
59711-96-5,1.51
1197-18-8,1.535307
65052-63-3,1.57
134523-00-5,1.6
480-41-1,1.62
59468-85-8,1.8
59467-70-8,1.81
107-35-7,1.819
437-38-7,1.86
1247847-78-4,1.86
14913-33-8,1.863
508-02-1,1.88
103-90-2,1.92
1404-90-6,1.92
75377-45-6,1.96
51146-56-6,1.97
327-97-9,2
160003-66-7,2
185425-25-6,2.05
76822-21-4,2.09
120595-80-4,2.22
27203-92-5,2.28
76-99-3,2.36
173932-75-7,2.362806
69-53-4,2.37
34981-26-5,2.38
59-05-2,2.39
945595-80-2,2.4
13392-18-2,2.4
105628-07-7,2.45
67579-73-1,2.48
97240-79-4,2.86
60-27-5,2.88391
60142-96-3,2.9
80154-34-3,2.91
50-81-7,2.94
1088-11-5,2.96
265114-23-6,3
439-14-5,3.08
1291094-73-9,3.16
1143532-39-1,3.19
442-51-3,3.21
503612-47-3,3.35
304-21-2,3.35
19388-87-5,3.4
55750-06-6,3.45069
33419-42-0,3.6
102767-28-2,3.6
934264-38-7,3.75
288-32-4,3.77
1208319-27-0,3.78
52485-79-7,3.86
32113-41-0,3.98
611-75-6,4
58-73-1,4.07
91374-21-9,4.08
105628-72-6,4.275
2508-72-7,4.3
33996-58-6,4.3
 604-75-1,4.52
73231-34-2,4.57
17230-88-5,4.68
6740-88-1,4.73
57-41-0,4.9
22071-15-4,4.93
865759-25-7,5.2
52438-09-2,5.3
56-54-2,5.59
610798-31-7,5.6
415903-37-6,5.68
512784-93-9,5.75
17902-23-7,5.8
26020-14-4,5.87
856307-27-2,5.94
97682-44-5,6.04
50-78-2,6.13456
56995-20-1,6.2
23214-92-8,6.288
82419-36-1,6.4
189954-96-9,6.5
 7440-06-4,6.68
147116-67-4,6.85
52-01-7,6.85
50-48-6,6.87
76-75-5,6.99
92626-27-2,7.12
53716-49-7,7.21
253128-41-5,7.4
100986-85-4,7.89
83-07-8,8.05
1401-69-0,8.44
1605-68-1,8.54
1187-84-4,8.9
91161-71-6,9.09
58-55-9,9.2
89-25-8,9.33
204656-20-2,9.44
114798-26-4,10
782487-28-9,11.9
76-25-5,12.19
104010-37-9,12.3
894-71-3,12.8
976-71-6,13.2
1194506-26-7,13.24
33069-62-4,13.97
892128-60-8,14.3
126544-47-6,17
874819-74-6,17.5
71125-38-7,18
657-24-9,20.4
4449-51-8,23.5
1058156-90-3,24
898537-18-3,27.4
15060-55-6,27.7
114177-14-9,28.799999
1193151-09-5,29.33
328898-40-4,32.22
1397-89-3,39.72
1332881-26-1,45.95919
100286-90-6,51.4
51596-11-3,52.8
